id,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
0,2020-12-08,NM,109947,,,0,0.0,1756,,,0,0.0,12/09/2020 02:45:40 PM,,Not agree
1,2020-08-29,SD,12942,,,425,0.0,167,165.0,2.0,2,0.0,08/30/2020 02:49:52 PM,,Agree
2,2020-11-06,SD,52639,,,1488,73.0,510,476.0,34.0,28,3.0,11/07/2020 02:45:17 PM,,Agree
3,2020-09-21,MP,69,69.0,0.0,0,0.0,2,2.0,0.0,0,0.0,09/22/2020 01:51:57 PM,Agree,Agree
4,2020-06-28,PA,85988,83529.0,2459.0,492,13.0,6614,,,8,4.0,06/29/2020 02:37:31 PM,Agree,Not agree
5,2021-03-28,NM,191048,,,161,0.0,3925,,,0,0.0,03/29/2021 01:48:56 PM,,Not agree
6,2021-03-19,NY,981148,,,3693,0.0,18528,,,28,0.0,03/20/2021 02:03:21 PM,Not agree,Not agree
7,2020-01-29,MA,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
8,2020-09-26,PW,0,,,0,0.0,0,,,0,0.0,09/27/2020 01:39:49 PM,,
9,2020-05-16,AS,0,,,0,0.0,0,,,0,0.0,05/17/2020 03:27:46 PM,,
10,2020-09-08,PW,0,,,0,0.0,0,,,0,0.0,09/09/2020 01:47:50 PM,,
11,2020-08-06,TX,467485,,,7598,0.0,11177,,,229,0.0,08/07/2020 12:00:00 AM,Not agree,Not agree
12,2020-10-19,MA,151370,141474.0,9896.0,827,0.0,9740,9532.0,208.0,15,0.0,10/20/2020 02:59:27 PM,Agree,Agree
13,2021-01-27,NYC,592471,508530.0,83941.0,6182,1473.0,26858,21887.0,4971.0,93,26.0,01/28/2021 02:49:07 PM,Agree,Agree
14,2020-05-04,MP,14,14.0,0.0,0,0.0,2,2.0,0.0,0,0.0,05/05/2020 05:25:08 PM,Agree,Agree
15,2020-06-07,PW,0,,,0,0.0,0,,,0,0.0,06/08/2020 02:55:08 PM,,
16,2021-01-09,AR,251746,,,2886,735.0,4010,,,44,10.0,01/10/2021 04:10:55 PM,Not agree,Not agree
17,2020-03-15,MA,164,,,55,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
18,2020-07-14,SD,7572,,,48,0.0,109,108.0,1.0,0,0.0,07/15/2020 03:05:12 PM,,Agree
19,2020-12-18,IA,264758,,,2200,609.0,3451,,,0,0.0,12/19/2020 02:42:31 PM,Not agree,Not agree
20,2021-03-20,RMI,4,4.0,0.0,0,0.0,0,0.0,0.0,0,0.0,03/21/2021 01:54:01 PM,Agree,Agree
21,2020-04-27,OK,4004,,,57,0.0,226,226.0,0.0,9,0.0,04/12/2021 06:02:00 PM,Not agree,Agree
22,2020-11-07,SD,53976,,,1337,242.0,523,486.0,37.0,13,3.0,11/08/2020 02:40:34 PM,,Agree
23,2020-06-05,RMI,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,06/06/2020 02:31:37 PM,Agree,Agree
24,2020-05-26,AS,0,,,0,0.0,0,,,0,0.0,05/27/2020 03:37:59 PM,,
25,2020-12-01,HI,17751,,,43,0.0,242,,,0,0.0,12/02/2020 03:48:48 PM,Not agree,Not agree
26,2020-09-15,RMI,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,09/16/2020 01:53:41 PM,Agree,Agree
27,2021-04-01,UT,386128,386128.0,0.0,487,0.0,2125,2065.0,60.0,3,1.0,04/02/2021 01:56:15 PM,Agree,Agree
28,2021-04-11,HI,29787,,,89,0.0,468,,,0,0.0,04/12/2021 01:39:29 PM,Not agree,Not agree
29,2021-03-06,WV,133290,106513.0,26777.0,326,72.0,2323,,,5,-3.0,03/07/2021 02:51:40 PM,Agree,Not agree
30,2020-12-06,AK,35720,,,757,0.0,142,,,0,0.0,12/07/2020 02:38:33 PM,,
31,2021-03-01,AR,322509,,,94,-4.0,5250,,,7,1.0,03/02/2021 02:54:47 PM,Not agree,Not agree
32,2021-03-27,GA,1054430,848859.0,205571.0,1410,356.0,18926,16487.0,2439.0,77,7.0,03/28/2021 01:52:27 PM,Agree,Agree
33,2021-03-02,AR,322949,,,440,215.0,5254,,,4,-4.0,03/03/2021 03:20:17 PM,Not agree,Not agree
34,2020-08-05,IA,46659,,,614,0.0,899,,,12,0.0,08/06/2020 02:12:27 PM,Not agree,Not agree
35,2020-03-09,NYC,17,,,5,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
36,2020-11-03,MP,96,96.0,0.0,0,0.0,2,2.0,0.0,0,0.0,11/04/2020 03:03:00 PM,Agree,Agree
37,2021-03-31,MP,159,159.0,0.0,0,0.0,2,2.0,0.0,0,0.0,04/01/2021 02:13:30 PM,Agree,Agree
38,2020-07-02,HI,956,,,28,0.0,18,,,0,0.0,07/03/2020 11:01:33 AM,Not agree,Not agree
39,2021-01-05,NYC,462668,405805.0,56863.0,5299,1171.0,25363,20521.0,4842.0,54,16.0,01/06/2021 02:58:26 PM,Agree,Agree
40,2020-09-07,WV,11575,11368.0,207.0,163,9.0,247,,,1,0.0,09/08/2020 02:47:00 PM,Agree,Not agree
41,2021-04-24,MA,649210,639314.0,9896.0,1386,0.0,17401,17193.0,208.0,12,0.0,04/25/2021 01:42:01 PM,Agree,Agree
42,2020-08-21,KS,36856,35895.0,961.0,966,13.0,419,,,8,0.0,08/22/2020 02:21:09 PM,Agree,
43,2020-11-27,KS,153021,132785.0,20236.0,5224,588.0,1529,,,26,5.0,11/28/2020 02:46:47 PM,Agree,
44,2020-01-29,HI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
